,callsign,icao24,last_position,filter,count
40427,WJA2060,c071a4,2022-01-13 17:25:19.880999936+00:00,False,0
40428,WJA2060,c071a4,2022-01-13 17:25:20.927000064+00:00,False,0
40429,WJA2060,c071a4,2022-01-13 17:25:21.881999872+00:00,False,0
40430,WJA2060,c071a4,2022-01-13 17:25:22.841000192+00:00,False,0
40431,WJA2060,c071a4,2022-01-13 17:25:23.964999936+00:00,False,0
40432,WJA2060,c071a4,2022-01-13 17:25:24.989000192+00:00,False,0
40433,WJA2060,c071a4,2022-01-13 17:25:25.956999936+00:00,False,0
40434,WJA2060,c071a4,2022-01-13 17:25:26.990000128+00:00,False,0
40435,WJA2060,c071a4,2022-01-13 17:25:27.431000064+00:00,False,0
40436,WJA2060,c071a4,2022-01-13 17:25:28.924000+00:00,False,0
40437,WJA2060,c071a4,2022-01-13 17:25:29.542000128+00:00,False,0
40438,WJA2060,c071a4,2022-01-13 17:25:30.453000192+00:00,False,0
40439,WJA2060,c071a4,2022-01-13 17:25:31.596000+00:00,False,0
40440,WJA2060,c071a4,2022-01-13 17:25:32.931000064+00:00,False,0
40441,WJA2060,c071a4,2022-01-13 17:25:33.796999936+00:00,False,0
40442,WJA2060,c071a4,2022-01-13 17:25:34.876000+00:00,False,0
40443,WJA2060,c071a4,2022-01-13 17:25:35.800000+00:00,False,0
40444,WJA2060,c071a4,2022-01-13 17:25:36.665999872+00:00,False,0
40445,WJA2060,c071a4,2022-01-13 17:25:37.782000128+00:00,False,0
40446,WJA2060,c071a4,2022-01-13 17:25:38.940000+00:00,False,0
40447,WJA2060,c071a4,2022-01-13 17:25:39.792999936+00:00,False,0
40448,WJA2060,c071a4,2022-01-13 17:25:40.848999936+00:00,False,0
40449,WJA2060,c071a4,2022-01-13 17:25:41.976000+00:00,False,0
40450,WJA2060,c071a4,2022-01-13 17:25:42.864000+00:00,False,0
40451,WJA2060,c071a4,2022-01-13 17:25:43.894000128+00:00,False,0
40452,WJA2060,c071a4,2022-01-13 17:25:44.861999872+00:00,False,0
40453,WJA2060,c071a4,2022-01-13 17:25:45.916000+00:00,False,0
40454,WJA2060,c071a4,2022-01-13 17:25:46.963000064+00:00,False,0
40455,WJA2060,c071a4,2022-01-13 17:25:47.412000+00:00,False,0
40456,WJA2060,c071a4,2022-01-13 17:25:48.936999936+00:00,False,0
40457,WJA2060,c071a4,2022-01-13 17:25:49.371000064+00:00,False,0
40458,WJA2060,c071a4,2022-01-13 17:25:50.946000128+00:00,False,0
40459,WJA2060,c071a4,2022-01-13 17:25:51.992000+00:00,False,0
